"index","date","location","speed","position","daytime","weather","class","source direction","mic","channel"
"0","2019-11-19-07-25","Langewiesener-Strasse","50","1033448","M","D","C","R","SE","34"
"1","2019-11-19-15-25","Langewiesener-Strasse","50","3036482","A","D","C","R","SE","34"
"2","2019-11-19-07-25","Langewiesener-Strasse","50","1329128","M","D","C","R","SE","34"
"3","2019-11-18-16-40","Langewiesener-Strasse","50","318797","A","D","C","R","SE","34"
"4","2019-11-13-08-00","Schleusinger-Allee","70","2563949","M","W","C","R","SE","34"
"5","2019-11-13-08-00","Schleusinger-Allee","70","2024024","M","W","T","R","SE","34"
"6","2019-11-18-16-40","Langewiesener-Strasse","50","1929080","A","D","T","L","SE","34"
"7","2019-11-19-08-30","Langewiesener-Strasse","50","1452376","M","D","C","R","SE","34"
"8","2019-11-13-15-30","Schleusinger-Allee","70","278360","A","D","C","R","SE","34"
"9","2019-11-19-08-30","Langewiesener-Strasse","50","1182136","M","D","C","R","SE","34"
"10","2019-11-18-15-45","Langewiesener-Strasse","50","1388653","A","D","T","L","SE","34"
"11","2019-11-13-15-55","Schleusinger-Allee","70","2643853","A","D","C","R","SE","34"
"12","2019-11-19-16-30","Langewiesener-Strasse","50","623120","A","D","C","R","SE","34"
"13","2019-11-13-15-55","Schleusinger-Allee","70","605320","A","D","C","R","SE","34"
"14","2019-11-13-15-55","Schleusinger-Allee","70","1210242","A","D","T","R","SE","34"
"15","2019-11-13-15-55","Schleusinger-Allee","70","2461719","A","D","C","R","SE","34"
"16","2019-11-19-16-30","Langewiesener-Strasse","50","1544648","A","D","C","R","SE","34"
"17","2019-11-19-08-30","Langewiesener-Strasse","50","1715480","M","D","C","R","SE","34"
"18","2019-11-12-16-00","Schleusinger-Allee","70","1360088","A","W","C","R","SE","34"
"19","2019-10-23-16-20","Fraunhofer-IDMT","30","150552","A","D","C","L","SE","34"
"20","2019-11-12-09-00","Schleusinger-Allee","70","2631533","M","W","T","L","SE","34"
"21","2019-11-18-15-45","Langewiesener-Strasse","50","2356077","A","D","C","L","SE","34"
"22","2019-11-12-16-00","Schleusinger-Allee","70","1543928","A","W","C","L","SE","34"
"23","2019-10-23-08-35","Fraunhofer-IDMT","30","2143256","M","D","T","R","SE","34"
"24","2019-11-19-15-25","Langewiesener-Strasse","50","2261613","A","D","C","R","SE","34"
"25","2019-11-19-16-30","Langewiesener-Strasse","50","815456","A","D","C","L","SE","34"
"26","2019-11-19-07-25","Langewiesener-Strasse","50","1851896","M","D","C","L","SE","34"
"27","2019-11-13-15-55","Schleusinger-Allee","70","670296","A","D","C","L","SE","34"
"28","2019-11-13-08-00","Schleusinger-Allee","70","67096","M","W","C","L","SE","34"
"29","2019-10-23-16-20","Fraunhofer-IDMT","30","2602690","A","D","T","L","SE","34"
"30","2019-11-19-07-25","Langewiesener-Strasse","50","1171616","M","D","C","R","SE","34"
"31","2019-11-19-15-25","Langewiesener-Strasse","50","551048","A","D","C","R","SE","34"
"32","2019-11-19-07-25","Langewiesener-Strasse","50","3209864","M","D","C","R","SE","34"
"33","2019-11-13-08-00","Schleusinger-Allee","70","1815032","M","W","C","L","SE","34"
"34","2019-11-18-16-40","Langewiesener-Strasse","50","1503848","A","D","C","L","SE","34"
"35","2019-10-22-08-40","Fraunhofer-IDMT","30","2370968","M","D","C","L","SE","34"
"36","2019-11-13-15-55","Schleusinger-Allee","70","2298264","A","D","C","R","SE","34"
"37","2019-11-19-08-30","Langewiesener-Strasse","50","291608","M","D","C","L","SE","34"
"38","2019-11-19-08-30","Langewiesener-Strasse","50","1585613","M","D","T","L","SE","34"
"39","2019-11-18-15-45","Langewiesener-Strasse","50","2638592","A","D","C","R","SE","34"
"40","2019-11-13-08-00","Schleusinger-Allee","70","227352","M","W","C","R","SE","34"
"41","2019-11-12-16-00","Schleusinger-Allee","70","676664","A","W","C","R","SE","34"
"42","2019-10-23-08-35","Fraunhofer-IDMT","30","1175000","M","D","T","R","SE","34"
"43","2019-11-18-15-45","Langewiesener-Strasse","50","1317773","A","D","C","L","SE","34"
"44","2019-11-13-08-00","Schleusinger-Allee","70","1216856","M","W","C","L","SE","34"
"45","2019-11-18-15-45","Langewiesener-Strasse","50","2321562","A","D","C","R","SE","34"
"46","2019-11-18-16-40","Langewiesener-Strasse","50","1877080","A","D","C","L","SE","34"
"47","2019-11-18-15-45","Langewiesener-Strasse","50","2086474","A","D","C","L","SE","34"
"48","2019-11-19-15-25","Langewiesener-Strasse","50","2192546","A","D","C","R","SE","34"
"49","2019-11-18-07-25","Langewiesener-Strasse","50","826952","M","D","C","R","SE","34"
"50","2019-11-19-07-25","Langewiesener-Strasse","50","1396616","M","D","C","R","SE","34"
"51","2019-10-23-08-35","Fraunhofer-IDMT","30","2186583","M","D","C","L","SE","34"
"52","2019-11-19-07-25","Langewiesener-Strasse","50","1569032","M","D","C","R","SE","34"
"53","2019-11-12-09-00","Schleusinger-Allee","70","963842","M","W","C","L","SE","34"
"54","2019-11-13-15-30","Schleusinger-Allee","70","812824","A","D","C","R","SE","34"
"55","2019-10-23-08-35","Fraunhofer-IDMT","30","872600","M","D","C","R","SE","34"
"56","2019-10-22-15-30","Fraunhofer-IDMT","30","3067650","A","D","C","L","SE","34"
"57","2019-11-13-08-00","Schleusinger-Allee","70","1111832","M","W","C","L","SE","34"
"58","2019-11-12-10-00","Schleusinger-Allee","70","805080","M","W","C","L","SE","34"
"59","2019-11-19-08-30","Langewiesener-Strasse","50","1759304","M","D","T","L","SE","34"
"60","2019-11-18-15-45","Langewiesener-Strasse","50","1048808","A","D","T","L","SE","34"
"61","2019-11-18-15-45","Langewiesener-Strasse","50","2269333","A","D","C","L","SE","34"
